labsampnum,db_13b,w0,w6clodVMW,w10cldVMW,w3cldVMW,w15l2VMW,COLEws,adod,cec7_cly,w15cly,result_source_key,latitude_decimal_degrees,longitude_decimal_degrees,lab_texture_class,sand_tot_psa,silt_tot_psa,clay_tot_psa,db_od,alpha,Ko,Ks,Lpar,npar,theta_r,theta_s,ten_npar,ten_alpha
04N00765,0.96,0.637735849,0.47136,0.41088,0.3648,0.0816,0.021,1.02,2.65,1.85,190197,48.7224998,-116.4630585,sl,55.9,39.5,4.6,1.03,-2.495864011,0.241907743,2.134280858,1.305392759,0.224456181,0.036365403,0.476101945,1.676703153,0.003192537
04N00766,1.1,0.58490566,0.4499,0.4103,0.3608,0.0737,0.01,1.017,1.67,1.24,190198,48.7224998,-116.4630585,cosl,60.4,34.2,5.4,1.14,-2.616105672,0.114001292,1.824707134,1.237884145,0.253652885,0.03818124,0.447006282,1.793299738,0.00242044
04N00767,1.7,0.358490566,0.2176,0.1938,0.1632,0.0391,0.002,1.003,0.6,0.53,190199,48.7224998,-116.4630585,cosl,69.5,26.2,4.3,1.72,-1.748337912,1.00373889,1.295960036,-0.720050183,0.138437494,0.017970373,0.311708898,1.375426837,0.017850981
04N00963,1.11,0.581132075,0.36963,0.35742,0.33411,0.04107,0.032,1.008,2.89,1.37,190493,30.4711952,-88.7416916,ls,78.5,18.8,2.7,1.22,-2.49367524,0.265518546,1.794355808,1.298767247,0.224792924,0.026956596,0.441698648,1.678003738,0.003208668
04N00964,1.57,0.40754717,0.23393,0.20567,0.17584,0.0471,0.002,1.004,0.95,0.81,190494,30.4711952,-88.7416916,lfs,77.2,19.1,3.7,1.58,-1.72036905,1.046391227,1.537894064,-0.67821741,0.137022264,0.019368272,0.348797781,1.370952046,0.019038422
04N00965,1.64,0.381132075,0.23452,0.20172,0.15416,0.041,0.004,1.003,0.34,0.47,190495,30.4711952,-88.7416916,fsl,73,21.7,5.3,1.66,-1.61771432,1.146519953,1.502828342,-0.945557169,0.135040485,0.019055806,0.330130295,1.364710349,0.024114912
04N00966,1.76,0.335849057,0.23056,0.20768,0.16368,0.04928,0.004,1.003,0.29,0.44,190496,30.4711952,-88.7416916,fsl,72.7,21,6.3,1.78,-1.698793123,1.032211485,1.211573877,-0.915324644,0.132281014,0.020576393,0.307294298,1.356066583,0.020008147
04N00967,1.75,0.339622642,0.245,0.224,0.175,0.0525,0.004,1.003,0.27,0.43,190497,30.4711952,-88.7416916,fsl,72.7,20.3,7,1.77,-1.778754037,0.941555753,1.160062901,-0.736604933,0.135287323,0.021225676,0.311333134,1.365486224,0.01664355
04N00968,1.8,0.320754717,0.2448,0.2286,0.198,0.072,0.007,1.004,0.26,0.47,190498,30.4711952,-88.7416916,fsl,71.8,19.7,8.5,1.84,-1.869328903,0.806203229,0.909872062,-0.663902378,0.131931911,0.024904393,0.307624389,1.354976961,0.01351049
04N00969,1.77,0.332075472,0.25488,0.23895,0.20178,0.09204,0.007,1.005,0.2,0.42,190499,30.4711952,-88.7416916,fsl,71.2,16.5,12.3,1.81,-1.719126677,0.923031601,1.015769578,-1.119039538,0.12012559,0.031217962,0.321510508,1.318638009,0.019092963
04N00970,1.76,0.335849057,0.2376,0.21472,0.2024,0.10032,0.009,1.005,0.23,0.51,190500,30.4711952,-88.7416916,sl,77.6,11.3,11.1,1.81,-1.644522437,0.988798466,1.103822412,-1.32997087,0.116762124,0.033682908,0.328237987,1.308465041,0.022671359
04N01884,1.52,0.426415094,0.36936,0.36328,0.34352,0.17176,0.017,1.013,NA,0.41,190705,NA,NA,sicl,6.6,65.8,27.6,1.6,-2.300155631,0.134682768,0.888728901,0.270858338,0.15623761,0.066702419,0.424912893,1.432971688,0.005010077
